name,ingredients,diet,region
Mysore pak,skimmed milk powder,vegetarian,South
Mysore pak,sugar,vegetarian,South
Mysore pak,ghee,vegetarian,South
Obbattu holige,Maida flour,vegetarian,South
Obbattu holige,turmeric,vegetarian,South
Obbattu holige,coconut,vegetarian,South
Obbattu holige,chickpeas,vegetarian,South
Obbattu holige,jaggery,vegetarian,South
Obbattu holige,ghee,vegetarian,South
Obbattu holige,cardamom,vegetarian,South
Palathalikalu,Rice flour,vegetarian,South
Palathalikalu,milk,vegetarian,South
Poornalu,Chana dal,vegetarian,South
Poornalu,jaggery,vegetarian,South
Pongal,Rice,vegetarian,South
Pongal,jaggery,vegetarian,South
Pongal,cashews,vegetarian,South
Pongal,ghee,vegetarian,South
Pootharekulu,Rice flour,vegetarian,South
Pootharekulu,powdered sugar,vegetarian,South
Pootharekulu,ghee,vegetarian,South
Qubani ka meetha,Apricots,vegetarian,South
Qubani ka meetha,sugar syrup,vegetarian,South
Sheer korma,Vermicelli pudding,vegetarian,South
Sheer korma,milk,vegetarian,South
Unni Appam,Rice flour,vegetarian,South
Unni Appam,banana,vegetarian,South
Unni Appam,jaggery,vegetarian,South
Unni Appam,coconut,vegetarian,South
Kajjikaya,Rice flour,vegetarian,South
Kajjikaya,jaggery,vegetarian,South
Kajjikaya,coconut,vegetarian,South
Anarsa,Rice flour,vegetarian,West
Anarsa,jaggery,vegetarian,West
Anarsa,khus-khus seeds,vegetarian,West
Basundi,Sugar,vegetarian,West
Basundi,milk,vegetarian,West
Basundi,nuts,vegetarian,West
Dhondas,Cucumber,vegetarian,West
Dhondas,rava,vegetarian,West
Doodhpak,Milk,vegetarian,West
Doodhpak,rice,vegetarian,West
Doodhpak,sugar,vegetarian,West
Doodhpak,dry fruits,vegetarian,West
Mahim halwa,Semolina,vegetarian,West
Mahim halwa,sugar,vegetarian,West
Modak,Rice flour,vegetarian,West
Modak,coconut,vegetarian,West
Modak,jaggery ,vegetarian,West
Shankarpali,Sugar,vegetarian,West
Shankarpali,ghee,vegetarian,West
Shankarpali,maida flour,vegetarian,West
Shankarpali,semolina,vegetarian,West
Shrikhand,Curd,vegetarian,West
Shrikhand,sugar,vegetarian,West
Shrikhand,saffron,vegetarian,West
Shrikhand,cardamom,vegetarian,West
Sutar feni,Maida,vegetarian,West
Sutar feni,sugar,vegetarian,West
Sutar feni,ghee,vegetarian,West
Maach Jhol,Fish,non vegetarian,North East
Maach Jhol,potol,non vegetarian,North East
Maach Jhol,tomato,non vegetarian,North East
Maach Jhol,chillies,non vegetarian,North East
Maach Jhol,ginger,non vegetarian,North East
Maach Jhol,garlic,non vegetarian,North East
Pork Bharta,Boiled pork,non vegetarian,North East
Pork Bharta,onions,non vegetarian,North East
Pork Bharta,chillies,non vegetarian,North East
Pork Bharta,ginger and garlic,non vegetarian,North East
Chak Hao Kheer,Rice,vegetarian,North East
Chak Hao Kheer,milk,vegetarian,North East
Chak Hao Kheer,sugar,vegetarian,North East
Chak Hao Kheer,cardamom,vegetarian,North East
Galho,Rice,non vegetarian,North East
Galho,axone,non vegetarian,North East
Galho,salt,non vegetarian,North East
Galho,water,non vegetarian,North East
Galho,chillies,non vegetarian,North East
Galho,pork,non vegetarian,North East
Aloo gobi,Cauliflower,vegetarian,North
Aloo gobi,potato,vegetarian,North
Aloo gobi,garam masala,vegetarian,North
Aloo gobi,turmeric,vegetarian,North
Aloo gobi,curry leaves,vegetarian,North
Aloo tikki,Rice flour,vegetarian,North
Aloo tikki,potato,vegetarian,North
Aloo tikki,bread crumbs,vegetarian,North
Aloo tikki,garam masala,vegetarian,North
Aloo tikki,salt,vegetarian,North
Aloo matar,Potato,vegetarian,North
Aloo matar,peas,vegetarian,North
Aloo matar,chillies,vegetarian,North
Aloo matar,ginger,vegetarian,North
Aloo matar,garam masala,vegetarian,North
Aloo matar,garlic,vegetarian,North
Aloo methi,Potato,vegetarian,North
Aloo methi,fenugreek leaves,vegetarian,North
Aloo methi,chillies,vegetarian,North
Aloo methi,salt,vegetarian,North
Aloo methi,oil,vegetarian,North
Aloo shimla mirch,Potato,vegetarian,North
Aloo shimla mirch,shimla mirch,vegetarian,North
Aloo shimla mirch,garam masala,vegetarian,North
Aloo shimla mirch,amchur powder,vegetarian,North
Aloo shimla mirch,salt,vegetarian,North
Bhatura,Chole,vegetarian,North
Bhatura,rava,vegetarian,North
Bhatura,yogurt,vegetarian,North
Bhatura,plain flour,vegetarian,North
Bhatura,baking soda,vegetarian,North
Bhindi masala,Ladies finger,vegetarian,North
Bhindi masala,garam masala,vegetarian,North
Bhindi masala,kasuri methi,vegetarian,North
Bhindi masala,tomatoes,vegetarian,North
Bhindi masala,chili powder,vegetarian,North
Biryani,Chicken thighs,non vegetarian,South
Biryani,basmati rice,non vegetarian,South
Biryani,star anise,non vegetarian,South
Biryani,sweet,non vegetarian,South
Biryani,green chillies,non vegetarian,South
Butter chicken,Chicken,non vegetarian,North
Butter chicken,greek yogurt,non vegetarian,North
Butter chicken,cream,non vegetarian,North
Butter chicken,garam masala powder,non vegetarian,North
Butter chicken,cashew nuts,non vegetarian,North
Butter chicken,butter,non vegetarian,North
Chana masala,Chickpeas,vegetarian,North
Chana masala,tomato paste,vegetarian,North
Chana masala,garam masala,vegetarian,North
Chana masala,ginger,vegetarian,North
Chana masala,red onion,vegetarian,North
Chana masala,avocado oil,vegetarian,North
Chapati,Whole wheat flour,vegetarian,West
Chapati,olive oil,vegetarian,West
Chapati,hot water,vegetarian,West
Chapati,all purpose flour,vegetarian,West
Chicken razala,Chicken,non vegetarian,East
Chicken razala,dahi,non vegetarian,East
Chicken razala,sesame seeds,non vegetarian,East
Chicken razala,garam masala powder,non vegetarian,East
Chicken razala,cashew nuts,non vegetarian,East
Chicken razala,saffron,non vegetarian,East
Chicken Tikka masala,Naan bread,non vegetarian,North
Chicken Tikka masala,tomato sauce,non vegetarian,North
Chicken Tikka masala,skinless chicken breasts,non vegetarian,North
Chicken Tikka masala,heavy cream,non vegetarian,North
Chicken Tikka masala,garam masala,non vegetarian,North
Chicken Tikka,Chicken,non vegetarian,North
Chicken Tikka,whole wheat bread,non vegetarian,North
Chicken Tikka,rice flour,non vegetarian,North
Chicken Tikka,garam masala powder,non vegetarian,North
Chicken Tikka,whole egg,non vegetarian,North
Chole bhature,Chole,vegetarian,North
Chole bhature,bhatura,vegetarian,North
Chole bhature,garam masala,vegetarian,North
Chole bhature,bay leaf,vegetarian,North
Chole bhature,cinnamon stick,vegetarian,North
Daal baati churma,Moong dal,vegetarian,West
Daal baati churma,masoor dal,vegetarian,West
Daal baati churma,chana dal,vegetarian,West
Daal baati churma,wheat flour,vegetarian,West
Daal baati churma,almond,vegetarian,West
Daal puri,Moong dal,vegetarian,East
Daal puri,garam masala powder,vegetarian,East
Daal puri,garlic,vegetarian,East
Daal puri,green chilli,vegetarian,East
Daal puri,all purpose flour,vegetarian,East
Dal makhani ,Red kidney beans,vegetarian,North
Dal makhani ,urad dal,vegetarian,North
Dal makhani ,cream,vegetarian,North
Dal makhani ,garam masala,vegetarian,North
Dal makhani ,chili powder,vegetarian,North
Dal tadka,Pigeon peas,vegetarian,North
Dal tadka,garam masala,vegetarian,North
Dal tadka,ginger,vegetarian,North
Dal tadka,red onion,vegetarian,North
Dal tadka,kasuri methi,vegetarian,North
Dum aloo,Baby potatoes,vegetarian,North
Dum aloo,garam masala,vegetarian,North
Dum aloo,cashew nuts,vegetarian,North
Dum aloo,kasuri methi,vegetarian,North
Dum aloo,tomatoes,vegetarian,North
Poha,Beaten rice flakes,vegetarian,West
Poha,potato,vegetarian,West
Poha,curry leaves,vegetarian,West
Poha,green chilies,vegetarian,West
Poha,lemon juice,vegetarian,West
Fara,Chana dal,vegetarian,Central
Fara,whole wheat flour,vegetarian,Central
Fara,arhar dal,vegetarian,Central
Fara,white urad dal,vegetarian,Central
Fara,garam masala powder,vegetarian,Central
Kachori,Moong dal,vegetarian,North
Kachori,rava,vegetarian,North
Kachori,garam masala,vegetarian,North
Kachori,dough,vegetarian,North
Kachori,fennel seeds,vegetarian,North
Kadai paneer,Cottage cheese,vegetarian,North
Kadai paneer,bell peppers,vegetarian,North
Kadai paneer,gravy,vegetarian,North
Kadai paneer,garam masala,vegetarian,North
Kadai paneer,cashew nuts,vegetarian,North
Kadhi pakoda,Besan,vegetarian,North
Kadhi pakoda,garam masala powder,vegetarian,North
Kadhi pakoda,gram flour,vegetarian,North
Kadhi pakoda,ginger,vegetarian,North
Kadhi pakoda,curry leaves,vegetarian,North
Karela bharta,Bitter gourd,vegetarian,North
Karela bharta,fennel,vegetarian,North
Karela bharta,garam masala powder,vegetarian,North
Karela bharta,chili powder,vegetarian,North
Karela bharta,amchur powder,vegetarian,North
Kofta,Paneer,vegetarian,North
Kofta,potato,vegetarian,North
Kofta,cream,vegetarian,North
Kofta,corn flour,vegetarian,North
Kofta,garam masala,vegetarian,North
Lauki ke kofte,Bottle gourd,vegetarian,North
Lauki ke kofte,garam masala powder,vegetarian,North
Lauki ke kofte,gram flour,vegetarian,North
Lauki ke kofte,ginger,vegetarian,North
Lauki ke kofte,chillies,vegetarian,North
Litti chokha,Wheat flour,vegetarian,North
Litti chokha,roasted gram flour,vegetarian,North
Litti chokha,tomato,vegetarian,North
Litti chokha,nigella seeds,vegetarian,North
Litti chokha,chilli,vegetarian,North
Makki di roti sarson da saag,Palak,vegetarian,North
Makki di roti sarson da saag,makki atta,vegetarian,North
Makki di roti sarson da saag,mustard green,vegetarian,North
Makki di roti sarson da saag,garam masala,vegetarian,North
Makki di roti sarson da saag,ginger,vegetarian,North
Misi roti,Whole wheat flour,vegetarian,North
Misi roti,chickpea flour,vegetarian,North
Misi roti,green chilies,vegetarian,North
Mushroom do pyaza,Mushroom,vegetarian,North
Mushroom do pyaza,malai,vegetarian,North
Mushroom do pyaza,garam masala,vegetarian,North
Mushroom do pyaza,ginger,vegetarian,North
Mushroom do pyaza,capsicum,vegetarian,North
Mushroom matar,Canned coconut milk,vegetarian,North
Mushroom matar,frozen green peas,vegetarian,North
Mushroom matar,wild mushrooms,vegetarian,North
Mushroom matar,garam masala,vegetarian,North
Mushroom matar,tomatoes,vegetarian,North
Naan,Whole wheat flour,vegetarian,North
Naan,honey,vegetarian,North
Naan,butter,vegetarian,North
Naan,garlic,vegetarian,North
Navrattan korma,Green beans,vegetarian,North
Navrattan korma,potatoes,vegetarian,North
Navrattan korma,khus khus,vegetarian,North
Navrattan korma,low fat,vegetarian,North
Navrattan korma,garam masala powder,vegetarian,North
Palak paneer,Cottage cheese,vegetarian,North
Palak paneer,palak,vegetarian,North
Palak paneer,cream,vegetarian,North
Palak paneer,garam masala,vegetarian,North
Palak paneer,butter,vegetarian,North
Paneer butter masala,Paneer,vegetarian,North
Paneer butter masala,whipping cream,vegetarian,North
Paneer butter masala,garam masala,vegetarian,North
Paneer butter masala,cashew nuts,vegetarian,North
Paneer butter masala,butter,vegetarian,North
Paneer tikka masala,Paneer,vegetarian,North
Paneer tikka masala,greek yogurt,vegetarian,North
Paneer tikka masala,tandoori masala,vegetarian,North
Paneer tikka masala,cream,vegetarian,North
Paneer tikka masala,bell pepper,vegetarian,North
Panjeeri,Whole wheat flour,vegetarian,
Panjeeri,musk melon seeds,vegetarian,
Panjeeri,poppy seeds,vegetarian,
Panjeeri,edible gum,vegetarian,
Panjeeri,semolina,vegetarian,
Paratha,Wheat flour,vegetarian,North
Paratha,butter,vegetarian,North
Paratha,potato,vegetarian,North
Paratha,coriander,vegetarian,North
Pattor,Arbi ke patte,vegetarian,West
Pattor,sesame seeds,vegetarian,West
Pattor,gur,vegetarian,West
Pattor,bengal gram flour,vegetarian,West
Pattor,imli,vegetarian,West
Pindi chana,Fennel,vegetarian,North
