name,ingredients,diet,region
Pork Bharta,chillies,non vegetarian,North East
Galho,chillies,non vegetarian,North East
Alu Pitika,fish,non vegetarian,North East
Masor tenga,fish,non vegetarian,North East
Khar,mustard oil,vegetarian,North East
Alu Pitika,mustard oil,non vegetarian,North East
Masor tenga,mustard oil,non vegetarian,North East
Bilahi Maas,mustard oil,non vegetarian,North East
Khorisa,mustard oil,vegetarian,North East
Koldil Chicken,mustard oil,non vegetarian,North East
Konir Dom,mustard oil,non vegetarian,North East
Masor Koni,mustard oil,non vegetarian,North East
Black rice,olive oil,non vegetarian,North East
Koldil Duck,olive oil,non vegetarian,North East
Pork Bharta,onions,non vegetarian,North East
Bengena Pitika,onions,vegetarian,North East
Galho,salt,non vegetarian,North East
Bengena Pitika,salt,vegetarian,North East
Masor tenga,tomatoes,non vegetarian,North East
Bilahi Maas,tomatoes,non vegetarian,North East
Konir Dom,tomatoes,non vegetarian,North East
Poornalu,Chana dal,vegetarian,South
Currivepillai sadam ,Chana dal,vegetarian,South
Dosa,Chana dal,vegetarian,South
Kootu,Chana dal,vegetarian,South
Kothamali sadam,Chana dal,vegetarian,South
Masala Dosa,Chana dal,vegetarian,South
Poriyal,Chana dal,vegetarian,South
Uttapam,Chana dal,vegetarian,South
Ariselu,Rice flour,vegetarian,South
Gavvalu,Rice flour,vegetarian,South
Palathalikalu,Rice flour,vegetarian,South
Pootharekulu,Rice flour,vegetarian,South
Unni Appam,Rice flour,vegetarian,South
Kajjikaya,Rice flour,vegetarian,South
Idiappam,Rice flour,vegetarian,South
Mysore pak,coconut,vegetarian,South
Obbattu holige,coconut,vegetarian,South
Unni Appam,coconut,vegetarian,South
Kajjikaya,coconut,vegetarian,South
Beef Fry,coconut,non vegetarian,South
Poriyal,coconut,vegetarian,South
Currivepillai sadam ,curry leaves,vegetarian,South
Keerai masiyal,curry leaves,vegetarian,South
Beef Fry,curry leaves,non vegetarian,South
Kos kootu,curry leaves,vegetarian,South
Koshambri,curry leaves,vegetarian,South
Kothamali sadam,curry leaves,vegetarian,South
Kuzhambu,curry leaves,vegetarian,South
Pachadi,curry leaves,vegetarian,South
Paniyaram,curry leaves,vegetarian,South
Paruppu sadam,curry leaves,vegetarian,South
Puli sadam,curry leaves,vegetarian,South
Rasam,curry leaves,vegetarian,South
Sandige,curry leaves,vegetarian,South
Thayir sadam,curry leaves,vegetarian,South
Vada,curry leaves,vegetarian,South
Ariselu,ghee,vegetarian,South
Bandar laddu,ghee,vegetarian,South
Gavvalu,ghee,vegetarian,South
Mysore pak,ghee,vegetarian,South
Obbattu holige,ghee,vegetarian,South
Pongal,ghee,vegetarian,South
Pootharekulu,ghee,vegetarian,South
Attu,ginger,vegetarian,South
Paniyaram,ginger,vegetarian,South
Thayir sadam,ginger,vegetarian,South
Vada,ginger,vegetarian,South
Chicken Varuval,ginger,non vegetarian,South
Ariselu,jaggery,vegetarian,South
Bandar laddu,jaggery,vegetarian,South
Mysore pak,jaggery,vegetarian,South
Obbattu holige,jaggery,vegetarian,South
Poornalu,jaggery,vegetarian,South
Pongal,jaggery,vegetarian,South
Unni Appam,jaggery,vegetarian,South
Kajjikaya,jaggery,vegetarian,South
Kuzhakkattai,jaggery,vegetarian,South
Double ka meetha,milk,vegetarian,South
Palathalikalu,milk,vegetarian,South
Sheer korma,milk,vegetarian,South
Shahi tukra,milk,vegetarian,South
Paravannam,milk,vegetarian,South
Payasam,milk,vegetarian,South
Keerai masiyal,mustard seeds,vegetarian,South
Keerai sadam,mustard seeds,vegetarian,South
Keerai poriyal,mustard seeds,vegetarian,South
Pachadi,mustard seeds,vegetarian,South
Rasam,mustard seeds,vegetarian,South
Thayir sadam,mustard seeds,vegetarian,South
Bandar laddu,sugar,vegetarian,South
Gavvalu,sugar,vegetarian,South
Kakinada khaja,sugar,vegetarian,South
Mysore pak,sugar,vegetarian,South
Keerai masiyal,sugar,vegetarian,South
Payasam,sugar,vegetarian,South
Puttu,sugar,vegetarian,South
Kaara kozhambu,tomato,vegetarian,South
Keerai sadam,tomato,vegetarian,South
Kuzhambu,tomato,vegetarian,South
Paruppu sadam,tomato,vegetarian,South
Uttapam,tomato,vegetarian,South
Chicken Varuval,tomato,non vegetarian,South
Avial,urad dal,vegetarian,South
Bisi bele bath,urad dal,vegetarian,South
Currivepillai sadam ,urad dal,vegetarian,South
Dosa,urad dal,vegetarian,South
Idli,urad dal,vegetarian,South
